family,updated_names,taxa,dorsal fin,anterior dorsal fin,posterior dorsal fin,adipose fin,caudal fin,anal fin,pectoral fin,pelvic fin,barbel,mouth,caudal peduncle,caudal fin upper lobe,caudal fin lower lobe,additional annotations?,,,
Catostomidae,Catostomus catostomus,Catostomus catostomus,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Catostomidae,Catostomus clarkii,Catostomus clarkii,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Catostomidae,Catostomus commersonii,Catostomus commersonii,1,0,0,0,1,1,1,1,1,1,1,1,1,,,,
Catostomidae,Erimyzon oblongus,Erimyzon oblongus,1,0,0,0,1,1,1,1,1,1,1,1,1,,,,
Catostomidae,Erimyzon oblongus,Erimyzon oblongus,1,0,0,0,1,1,1,1,1,1,1,1,1,,,,
Catostomidae,Erimyzon sucetta,Erimyzon sucetta,1,0,0,0,1,1,1,1,NA,1,1,1,1,,,,
Catostomidae,Erimyzon tenuis,Erimyzon tenuis,1,0,0,0,1,1,1,1,NA,1,1,1,1,,,,
Catostomidae,Hypentelium etowanum,Hypentelium etowanum,1,0,0,0,1,1,1,1,NA,1,1,1,1,,,,
Catostomidae,Hypentelium nigricans,Hypentelium nigricans,1,0,0,0,1,1,1,1,NA,1,1,1,1,,,,
Catostomidae,Ictiobus bubalus,Ictiobus bubalus,1,0,0,0,1,1,1,1,NA,1,1,1,1,,,,
Catostomidae,Ictiobus cyprinellus,Ictiobus cyprinellus,1,0,0,0,1,1,1,1,NA,1,1,1,1,,,,
Catostomidae,Ictiobus niger,Ictiobus niger,1,0,0,0,1,1,1,1,1,1,1,1,1,,,,
Catostomidae,Minytrema melanops,Minytrema melanops,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Catostomidae,Moxostoma anisurum,Moxostoma anisurum,1,0,0,0,1,1,1,1,NA,1,1,1,1,,,,
Catostomidae,Moxostoma breviceps,Moxostoma breviceps,1,0,0,0,1,1,1,1,NA,1,1,1,1,,,,
Catostomidae,Moxostoma carinatum,Moxostoma carinatum,1,0,0,0,1,1,1,1,NA,1,1,1,1,,,,
Catostomidae,Moxostoma duquesnii,Moxostoma duquesnii,1,0,0,0,1,1,1,1,NA,1,1,1,1,,,,
Catostomidae,Moxostoma erythrurum,Moxostoma erythrurum,1,0,0,0,1,1,1,1,NA,1,1,1,1,,,,
Catostomidae,Moxostoma macrolepidotum,Moxostoma macrolepidotum,1,0,0,0,1,1,1,1,NA,1,1,1,1,,,,
Catostomidae,Moxostoma valenciennesi,Moxostoma valenciennesi,1,0,0,0,1,1,1,1,NA,1,1,1,1,,,,
Centrarchidae,Ambloplites cavifrons,Ambloplites cavifrons,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Centrarchidae,Ambloplites constellatus,Ambloplites constellatus,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Centrarchidae,Centrarchus macropterus,Centrarchus macropterus,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Centrarchidae,Enneacanthus chaetodon,Enneacanthus chaetodon,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Centrarchidae,Enneacanthus gloriosus,Enneacanthus gloriosus,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Centrarchidae,Enneacanthus obesus,Enneacanthus obesus,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Centrarchidae,Lepomis auritus,Lepomis auritus,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Centrarchidae,Lepomis cyanellus,Lepomis cyanellus,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Centrarchidae,Lepomis gibbosus,Lepomis gibbosus,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Centrarchidae,Lepomis gulosus,Lepomis gulosus,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Centrarchidae,Lepomis humilis,Lepomis humilis,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Centrarchidae,Lepomis macrochirus,Lepomis macrochirus,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Centrarchidae,Lepomis marginatus,Lepomis marginatus,1,0,0,0,1,1,1,1,1,1,1,1,1,,,,
Centrarchidae,Lepomis megalotis,Lepomis megalotis,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Centrarchidae,Lepomis microlophus,Lepomis microlophus,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Centrarchidae,Lepomis miniatus,Lepomis miniatus,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Centrarchidae,Lepomis punctatus,Lepomis punctatus,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Centrarchidae,Lepomis symmetricus,Lepomis symmetricus,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Centrarchidae,Micropterus cataractae,Micropterus cataractae,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Centrarchidae,Micropterus coosae,Micropterus coosae,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Centrarchidae,Micropterus dolomieu,Micropterus dolomieu,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Centrarchidae,Micropterus notius,Micropterus notius,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Centrarchidae,Micropterus punctulatus,Micropterus punctulatus,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Centrarchidae,Micropterus salmoides,Micropterus salmoides,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Centrarchidae,Micropterus treculii,Micropterus treculii,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Centrarchidae,Pomoxis annularis,Pomoxis annularis,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Centrarchidae,Pomoxis nigromaculatus,Pomoxis nigromaculatus,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Chaetodontidae,Heniochus acuminatus,Heniochus acuminatus,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Champsodontidae,Champsodon snyderi,Champsodon snyderi,1,1,1,0,1,1,1,1,0,1,1,1,1,,,,
Characidae,Triportheus albus,Triportheus albus,1,0,0,1,1,1,1,1,0,1,1,1,1,,,,
Chimaeridae,Hydrolagus mitsukurii,Hydrolagus mitsukurii,1,1,1,0,1,1,1,1,0,1,1,1,1,,,,
Chirocentridae,Chirocentrus dorab,Chirocentrus dorab,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Chlorophthalmidae,Chlorophthalmus albatrossis,Chlorophthalmus albatrossis,1,0,0,1,1,1,1,1,0,1,1,1,1,,,,
Chlorophthalmidae,Chlorophthalmus nigromarginatus,Chlorophthalmus nigromarginatus,1,0,0,1,1,1,1,1,0,1,1,1,1,,,,
Clupeidae,Alosa aestivalis,Alosa aestivalis,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Clupeidae,Alosa alabamae,Alosa alabamae,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Clupeidae,Alosa chrysochloris,Alosa chrysochloris,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Clupeidae,Alosa mediocris,Alosa mediocris,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Clupeidae,Alosa pseudoharengus,Alosa pseudoharengus,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Clupeidae,Alosa sapidissima,Alosa sapidissima,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Clupeidae,Anodontostoma chacunda,Anodontostoma chacunda,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Clupeidae,Clupeichthys aesarnensis,Clupeichthys aesarnensis,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Clupeidae,Clupeoides borneensis,Clupeoides borneensis,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Clupeidae,Clupeonella cultriventris,Clupeonella cultriventris,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Clupeidae,Corica laciniata,Corica laciniata,1,0,0,0,1,1,1,1,0,1,1,1,1,anal finlet present,,,
Cobitidae,Misgurnus anguillicaudatus,Misgurnus anguillicaudatus,1,0,0,0,1,1,1,1,1,1,1,1,1,,,,
Cobitidae,Misgurnus mizolepis,Misgurnus mizolepis,1,0,0,0,1,1,1,1,1,1,1,1,1,,,,
Cobitidae,Misgurnus nikolskyi,Misgurnus nikolskyi,1,0,0,0,1,1,1,1,1,1,1,1,1,,,,
Cottidae,Cottus aleuticus,Cottus aleuticus,1,1,1,0,1,1,1,1,0,1,1,1,1,,,,
Cottidae,Cottus asper,Cottus asper,1,1,1,0,1,1,1,1,0,1,1,1,1,,,,
Cottidae,Cottus asperrimus,Cottus asperrimus,1,1,1,0,1,1,1,1,0,1,1,1,1,,,,
Cottidae,Cottus baileyi,Cottus baileyi,1,1,1,0,1,1,1,1,0,1,1,1,1,,,,
Cottidae,Cottus bairdii,Cottus bairdii,1,1,1,0,1,1,1,1,0,1,1,1,1,,,,
Cottidae,Cottus beldingii,Cottus beldingii,1,1,1,0,1,1,1,1,0,1,1,1,1,,,,
Cottidae,Cottus carolinae,Cottus carolinae,1,1,1,0,1,1,1,1,0,1,1,1,1,,,,
Cottidae,Cottus cognatus,Cottus cognatus,1,1,1,0,1,1,1,1,0,1,1,1,1,,,,
Cottidae,Cottus confusus,Cottus confusus,1,1,1,0,1,1,1,1,0,1,1,1,1,,,,
Cottidae,Cottus echinatus,Cottus echinatus,1,1,1,0,1,1,1,1,0,1,1,1,1,,,,
Cottidae,Cottus girardi,Cottus girardi,1,1,1,0,1,1,1,1,0,1,1,1,1,,,,
Cottidae,Cottus greenei,Cottus greenei,1,1,1,0,1,1,1,1,0,1,1,1,1,,,,
Cottidae,Cottus gulosus,Cottus gulosus,1,1,1,0,1,1,1,1,0,1,1,1,1,,,,
Cottidae,Cottus hubbsi,Cottus hubbsi,1,1,1,0,1,1,1,1,0,1,1,1,1,,,,
Cottidae,Cottus hypselurus,Cottus hypselurus,1,1,1,0,1,1,1,1,0,1,1,1,1,,,,
Cottidae,Cottus klamathensis,Cottus klamathensis,1,1,1,0,1,1,1,1,0,1,1,1,1,,,,
Cottidae,Cottus perplexus,Cottus perplexus,1,1,1,0,1,1,1,1,0,1,1,1,1,,,,
Cottidae,Cottus pitensis,Cottus pitensis,1,1,1,0,1,1,1,1,0,1,1,1,1,,,,
Cottidae,Cottus princeps,Cottus princeps,1,1,1,0,1,1,1,1,0,1,1,1,1,,,,
Cottidae,Cottus rhotheus,Cottus rhotheus,1,1,1,0,1,1,1,1,0,1,1,1,1,,,,
Cottidae,Cottus ricei,Cottus ricei,1,1,1,0,1,1,1,1,0,1,1,1,1,,,,
Cottidae,Myoxocephalus thompsonii,Myoxocephalus thompsonii,1,1,1,0,1,1,1,1,0,1,1,1,1,,,,
Cottidae,Paracottus knerii,Paracottus knerii,1,1,1,0,1,1,1,1,0,1,1,1,1,,,,
Cynoglossidae,Paraplagusia bilineata,Paraplagusia bilineata,1,0,0,0,1,1,0,1,0,1,1,1,1,,,,
Cyprinidae,Aztecula sallaei,Aztecula sallaei,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Cyprinidae,Campostoma anomalum,Campostoma anomalum,1,0,0,0,1,1,1,1,1,1,1,1,1,,,,
Cyprinidae,Campostoma anomalum,Campostoma anomalum,1,0,0,0,1,1,1,1,1,1,1,1,1,,,,
Cyprinidae,Carassius auratus,Carassius auratus,1,0,0,0,1,1,1,1,1,1,1,1,1,,,,
Cyprinidae,Carassius carassius,Carassius carassius,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Cyprinidae,Clinostomus elongatus,Clinostomus elongatus,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Cyprinidae,Clinostomus funduloides,Clinostomus funduloides,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Cyprinidae,Codoma ornata,Codoma ornata,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Cyprinidae,Ctenopharyngodon idella,Ctenopharyngodon idella,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Cyprinidae,Cyprinella analostana,Cyprinella analostana,1,0,0,0,1,1,1,1,NA,1,1,1,1,,,,
Cyprinidae,Cyprinella caerulea,Cyprinella caerulea,1,0,0,0,1,1,1,1,NA,1,1,1,1,,,,
Cyprinidae,Cyprinella callisema,Cyprinella callisema,1,0,0,0,1,1,1,1,NA,1,1,1,1,,,,
Cyprinidae,Cyprinella callistia,Cyprinella callistia,1,0,0,0,1,1,1,1,NA,1,1,1,1,,,,
Cyprinidae,Cyprinella callitaenia,Cyprinella callitaenia,1,0,0,0,1,1,1,1,NA,1,1,1,1,,,,
Cyprinidae,Cyprinella camura,Cyprinella camura,1,0,0,0,1,1,1,1,NA,1,1,1,1,,,,
Cyprinidae,Cyprinella chloristia,Cyprinella chloristia,1,0,0,0,1,1,1,1,NA,1,1,1,1,,,,
Cyprinidae,Cyprinella formosa,Cyprinella formosa,1,0,0,0,1,1,1,1,NA,1,1,1,1,,,,
Cyprinidae,Cyprinella galactura,Cyprinella galactura,1,0,0,0,1,1,1,1,NA,1,1,1,1,,,,
